title,type,dates,members,score
Mousou Cinderella,Manga (1 vols),Sep 2007 - Dec 2008,661 members,7.08
Hanayome ni Naru Jouken,Manga (1 vols),2010 - 2010,532 members,7.08
She's Gon,Manhwa (3 vols),2012 -,883 members,7.08
Kuraku naru Made Matte,One-shot (? vols),Dec 2011 - Dec 2011,"1,171 members",7.08
Hana to Harinezumi,Manga (? vols),Mar 2012 -,"1,376 members",7.08
Aquarion Evol,Manga (5 vols),Jan 2012 - Jun 2014,696 members,7.08
Mado no Mukougawa,Manga (? vols),Jan 2012 -,576 members,7.08
Tobari,One-shot (? vols),Jul 2010 - Jul 2010,328 members,7.08
Haikei Date Masamune-sama,Manga (2 vols),2010 - 2011,903 members,7.08
Masaka-dou e Irasshai,Manga (? vols),Mar 2012 - Apr 2015,"2,138 members",7.08
Dracu-Riot! Honey!,Manga (? vols),Apr 2012 -,882 members,7.08
Hatsu Kokuhaku.,Manga (1 vols),Jun 2012 - Jun 2012,643 members,7.08
Ue kara Kataomoi,Manga (1 vols),Dec 2012 - Dec 2012,"3,289 members",7.08
Freezing: Pair Love Stories,Manga (3 vols),Mar 2013 - Feb 2014,"1,641 members",7.09
Kamisama Drop,Manga (11 vols),Dec 2012 - Jul 2016,"2,392 members",7.08
12 Beast,Manga (? vols),May 2013 -,"7,954 members",7.08
"Sugar Girl, Sugar Doll",Manga (2 vols),Oct 2012 - Jul 2013,"1,465 members",7.08
Otokonoko ni Toriko,Manga (1 vols),Jun 2013 - Feb 2014,"4,222 members",7.08
Hoshikuzu to Hanayome,One-shot (? vols),Dec 2012 - Dec 2012,963 members,7.08
Sen to Man,Manga (3 vols),Jul 2012 - Jun 2016,"2,925 members",7.08
Mahou Shoujo Site,Manga (16 vols),Jul 2013 - Aug 2019,"17,995 members",7.08
AFO-Guard,Manga (5 vols),Aug 2013 - Aug 2015,"1,575 members",7.08
Evil Eater,Manga (3 vols),Nov 2011 - May 2013,616 members,7.08
Gaitou Alice,Manga (3 vols),Feb 2015 - Jun 2016,"1,031 members",7.08
Akuma mo Fumu wo Osoreru Tokoro,Manga (3 vols),Mar 2015 - May 2016,"1,560 members",7.08
"Kedamonozakari, Koizakari",Manga (1 vols),May 2015 - Jun 2015,"2,468 members",7.08
Ex-Arm,Manga (14 vols),Feb 2015 - Jun 2019,986 members,7.08
Drop Frame,Manga (4 vols),Feb 2015 - Oct 2016,375 members,7.08
Keppeki Danshi! Aoyama-kun,Manga (13 vols),May 2014 - Jan 2018,"1,339 members",7.08
xxxHOLiC Tokubetsu-hen,One-shot (? vols),Dec 2015 - Dec 2015,611 members,7.08
Kimi ga Iru Shinya 2-ji 20-pun,Manga (1 vols),Mar 2011 - Nov 2011,937 members,7.08
Kare to Kanojo no Chiguhagu,Manga (1 vols),Oct 2014 - Feb 2015,"1,121 members",7.08
Mirai Nikki: Mosaic Keshi,Manga (1 vols),Mar 2011 - Nov 2011,597 members,7.08
Shooting Girl,One-shot (? vols),Feb 2016 - Feb 2016,189 members,7.08
Dramatic Irony,Manga (? vols),Oct 2016 -,654 members,7.08
"Houkago wa, Isekai Kissa de Coffee wo",Novel (? vols),Jun 2017 -,376 members,7.08
Yari no Yuusha no Yarinaoshi,Manga (? vols),Aug 2017 -,"2,110 members",7.08
Sekai de Ichiban Oppai ga Suki!,Manga (? vols),Jul 2017 -,"3,421 members",7.08
"Datte Kimi wa, Osananajimi.",Manga (1 vols),Mar 2017 - Jan 2018,319 members,7.08
"Hello, Hello and Hello",Manga (1 vols),Nov 2018 - May 2019,261 members,7.08
Lagoon Engine Einsatz,Manga (1 vols),Oct 2004 - Jul 2005,632 members,7.07
Chronicles of the Cursed Sword,Manhwa (37 vols),1999 - 2009,"1,934 members",7.07
Zig☆Zag,Manga (9 vols),Sep 2004 - Sep 2008,843 members,7.07
Psychic Academy Oura Bansho,Manga (11 vols),Jun 1998 - Jan 2003,"4,131 members",7.07
Time Guardian,Manga (2 vols),Apr 2005 - Feb 2006,496 members,7.07
Lodoss-tou Senki: Deedlit Monogatari,Manga (2 vols),1998 - 1998,"1,145 members",7.07
Et Cetera,Manga (9 vols),Feb 1999 - Jan 2001,710 members,7.07
Elf wo Karu Mono-tachi,Manga (21 vols),Nov 1994 - Nov 2002,"1,051 members",7.07
Subete ni Iya Girl,Manga (5 vols),Jul 2000 - 2002,"2,054 members",7.07
Hakoiri Devil Princess,Manga (6 vols),Jan 2004 - May 2007,"5,552 members",7.07
Digimon Frontier,Manhua (3 vols),-,822 members,7.07
Oshaberi na Jikanwari,Manga (2 vols),1994 -,406 members,7.06
"Baby, Star",Manga (1 vols),2003 - 2003,"1,080 members",7.07
HWA,Manhwa (1 vols),-,933 members,7.07
Tomodachi kara Yoroshiku desu!,One-shot (? vols),2005 - 2005,"1,096 members",7.07
Yume no Shiro: Mahou Tsukai Series,Manga (1 vols),Nov 1995 - Sep 1998,600 members,7.07
Kemeko Deluxe!,Manga (9 vols),Oct 2005 - Jun 2011,"1,301 members",7.07
Koibana!: Koiseyo Hanabi,Manga (10 vols),Aug 2007 - Nov 2010,"8,956 members",7.07
Munasawagi Karute,Manga (1 vols),2000 -,438 members,7.07
NieA Under 7,Manga (2 vols),Sep 1999 - Dec 2000,977 members,7.07
Gankutsuou,Manga (3 vols),Mar 2005 - Mar 2008,"1,821 members",7.07
Kojin Jugyou,Manga (1 vols),2005 - 2005,475 members,7.07
Zone,One-shot (? vols),Dec 2003 - Dec 2003,"5,422 members",7.07
Yagyuu Hichou: Kaze no Shou,Manga (1 vols),Feb 1992 - Jun 1992,997 members,7.07
Tamago no Kimi,Manga (4 vols),Apr 2005 - Jan 2007,"1,738 members",7.07
Adarshan no Hanayome,Manga (2 vols),Jul 2006 - Apr 2008,"7,352 members",7.07
Get the Moon,Manga (1 vols),Nov 2002 - Nov 2002,576 members,7.07
Dominion C1 Conflict,Manga (1 vols),1992 - 1992,595 members,7.07
Shadow of Visions,Manhua (5 vols),-,646 members,7.07
"Onegai, Sensei",Manga (1 vols),Jun 2007 - Feb 2008,"2,516 members",7.07
Out Code: Choujou Hanzai Tokumu Sousakan,Manga (3 vols),Jul 2008 - Aug 2009,949 members,7.07
E.D.D: Eliminate Dangerous Doctors,Manga (5 vols),May 2006 - Nov 2009,398 members,7.07
Venus Senki,Manga (4 vols),Sep 1986 - Apr 1990,599 members,7.07
Memory Eaters,Manhwa (2 vols),2006 - 2007,767 members,7.07
Kamui Gaiden Daiichi-bu,Manga (2 vols),May 1965 - Jan 1967,363 members,7.07
Gedo Senki,Manga (4 vols),2006 - 2006,473 members,7.07
Reverse/End,Manga (3 vols),2007 - 2007,333 members,7.07
Shoujo Nemu,Manga (1 vols),Apr 1996 - Jan 1997,686 members,7.07
Tokyo Alice,Manga (15 vols),Oct 2005 - Aug 2015,860 members,7.07
Junjou Karen na Oretachi da!,Manga (3 vols),2008 - 2009,476 members,7.07
Aegis in the Dark,Manga (26 vols),Oct 2000 - Jul 2006,725 members,7.07
Togabito to Melody,Manga (1 vols),Jun 2001 - May 2010,"1,272 members",7.07
Watashi no Suki na Souma-Kun,One-shot (? vols),Feb 2008 - Feb 2008,"2,063 members",7.07
Shinigami Alice,Manga (2 vols),Jun 2007 - Sep 2010,"2,389 members",7.07
Sora no Shita Yane no Naka,Manga (2 vols),Apr 2008 - Apr 2010,"1,980 members",7.07
Love Allergen,Manga (4 vols),Sep 2009 - Feb 2012,"1,888 members",7.07
Otogibanashi wo Anata ni: Tsukiyo no Maihime,Manga (1 vols),2006 - 2006,802 members,7.07
Kare wa Diablo!,Manga (3 vols),May 2010 - Jul 2011,"1,836 members",7.07
Kimi-iro Focus,Manga (10 vols),Jul 2009 - Oct 2012,"7,111 members",7.07
Kiss to Koukai,Manga (1 vols),-,"1,613 members",7.07
Shiro no Eden,Manga (4 vols),Mar 2010 -,"1,431 members",7.07
Mahoromi: Jikuu Kenchiku Genshitan,Manga (4 vols),Feb 2010 - Mar 2015,728 members,7.07
Koi-iro✡Devil,Manga (5 vols),Feb 2009 - May 2012,"2,063 members",7.07
Sheikh no Ryakudatsu Ai,Manga (1 vols),-,590 members,7.07
Aka no Sekai,Manga (1 vols),2010 - 2011,615 members,7.07
"Kono Naka ni Hitori, Imouto ga Iru!",Manga (5 vols),May 2011 - Sep 2013,"2,042 members",7.07
Yoshiwara Hana Oboro,Manga (3 vols),Jul 2011 - Sep 2012,"3,711 members",7.07
Beast 9,Manhwa (5 vols),2010 - 2012,"1,936 members",7.07
Boku no Hitsugi de Bansan wo,Manga (1 vols),May 2010 - Jun 2013,"2,621 members",7.07
Asa Chun!,Manga (1 vols),Jun 2009 - Feb 2010,"2,448 members",7.07
Monster Hunter Episode,Manga (3 vols),Jun 2010 - May 2011,571 members,7.07
Ore no Ko desu ka?,Manga (5 vols),Aug 2003 - Nov 2006,397 members,7.07
Orokamono no Koi,Manga (1 vols),Oct 2011 - Oct 2011,"2,220 members",7.07
Hajimari no Natsu,Manga (1 vols),Sep 2010 - Aug 2011,"3,091 members",7.07
Ookami ni Kuchizuke,Manga (2 vols),Jun 2012 - Nov 2012,"2,662 members",7.07
Suki mo Yoi,Manga (1 vols),Apr 2012 - Apr 2012,668 members,7.07
Aho Girl,Manga (12 vols),Nov 2012 - Dec 2017,"13,084 members",7.07
Tarareba,Manga (1 vols),Aug 2011 - Aug 2011,332 members,7.07
Stravaganza: Isai no Hime,Manga (7 vols),Jun 2012 - Jun 2018,"3,969 members",7.07
Akuma no Riddle,Manga (5 vols),Aug 2012 - Oct 2016,"9,922 members",7.07
Fairy Tail: Houou no Miko - Hajimari no Asa,One-shot (? vols),Aug 2012 - Aug 2012,"3,734 members",7.07
Shinigami x Doctor,Manga (3 vols),Apr 2013 - Oct 2015,"1,720 members",7.07
"Sono Otoko, Amatou ni Tsuki",Manga (1 vols),Jul 2010 - May 2013,615 members,7.07
Steps,Manga (1 vols),Aug 2011 - Jan 2013,815 members,7.07
Green Worldz,Manga (8 vols),Dec 2013 - Feb 2016,"10,573 members",7.07
Suicide Parabellum,Manga (? vols),Apr 2013 -,917 members,7.08
Hatsukoi Chronicle,One-shot (? vols),Oct 2013 - Oct 2013,702 members,7.07
Danshigurashi,Manga (1 vols),Jan 2013 - Jul 2013,674 members,7.07
Kiss x Death,Manga (7 vols),Sep 2014 - Apr 2018,"5,164 members",7.07
Yokokuhan: The Copycat,Manga (3 vols),Apr 2014 - Jul 2015,864 members,7.07
Koko kara Saki wa NG!,Manga (3 vols),Jun 2014 - Jun 2015,"3,149 members",7.07
Isekai de Café wo Kaiten shimashita.,Manga (? vols),Oct 2014 -,"1,137 members",7.07
Itsuka no Haru,Manga (1 vols),Sep 2014 - Dec 2014,831 members,7.07
Floor ni Maou ga Imasu,Manga (? vols),Oct 2014 -,"4,625 members",7.07
T-Rex na Kanojo,Manga (2 vols),Oct 2014 - Dec 2015,"7,522 members",7.07
Juuni-banme no Tenshi,Manga (1 vols),Aug 2009 - Aug 2009,307 members,7.07
Himitsu no Juliet,Manga (2 vols),May 2015 - Jan 2016,337 members,7.07
Sasen mo Warukunai,Manga (1 vols),Jul 2015 - Apr 2016,"1,879 members",7.07
"Sidonia no Kishi: Tsumugi, ""Blame!"" ni Hamaru. no Maki",Manga (1 vols),Apr 2015 - Apr 2015,692 members,7.07
Mononoke◇Sharing,Manga (? vols),Jan 2015 -,"2,523 members",7.07
Fureru to Kikoeru,Manga (4 vols),Dec 2015 - Oct 2016,"4,563 members",7.07
Rozen Maiden 0,Manga (4 vols),Feb 2016 - Mar 2019,649 members,7.07
Nanashi no Asterism,Manga (5 vols),Jun 2015 - Mar 2017,"2,370 members",7.07
Gamers!,Manga (? vols),Oct 2016 -,"2,553 members",7.07
Live Dungeon!,Novel (? vols),Dec 2016 -,824 members,7.07
Dragon Ball Gaiden: Tensei shitara Yamcha Datta Ken,Manga (1 vols),Dec 2016 - Aug 2017,"3,840 members",7.07
Boku no Heya ga Dungeon no Kyuukeijo ni Natteshimatta Ken,Novel (? vols),Feb 2017 -,847 members,7.07
Takarakuji de 40-oku Atattanda kedo Isekai ni Ijuusuru,Manga (? vols),Nov 2016 -,"5,650 members",7.07
Yankee Shota to Otaku Oneesan,Manga (? vols),Sep 2016 -,"1,917 members",7.07
Futaribocchi Sensou,Manga (3 vols),Jun 2017 - Apr 2018,836 members,7.07
Hakase no Kimagure Homunculus,Manga (? vols),Aug 2016 -,649 members,7.07
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,Manga (? vols),Nov 2017 -,"7,470 members",7.07
Shouwa Otome Otogibanashi,Manga (? vols),Aug 2018 -,556 members,7.07
Isekai demo Bunan ni Ikitai Shoukougun,Manga (? vols),Feb 2019 -,"1,070 members",7.07
"Tsuma, Shougakusei ni Naru.",Manga (? vols),Jul 2018 -,938 members,7.07
Gantz:E,Manga (? vols),Jan 2020 -,964 members,7.08
Shijou Saikyou Orc-san no Tanoshii Isekai Harem-zukuri,Manga (? vols),Sep 2019 -,714 members,7.07
Boku to Kanojo no XXX,Manga (8 vols),Feb 2001 - Aug 2011,"7,386 members",7.06
Trash,Manga (1 vols),2004 -,551 members,7.06
E's,Manga (16 vols),1997 - 2005,"1,412 members",7.06
Neji,Manga (1 vols),1992 - Jun 2001,"2,494 members",7.06
Love Celeb,Manga (7 vols),May 2004 - 2006,"11,738 members",7.06
The Poet Who Buys Words,Manhwa (? vols),2006 - 2006,"1,644 members",7.06
Embalming: The Another Tale of Frankenstein,Manga (10 vols),Nov 2007 - Apr 2015,"2,398 members",7.06
Kowai Hon,Manga (14 vols),Aug 1981 - Oct 1982,587 members,7.06
Datte Suki Nan Damon,Manga (2 vols),Nov 2004 - Aug 2005,"3,512 members",7.06
Mozart wa Komoriuta wo Utawanai,Manga (4 vols),-,460 members,7.06
Blue Ramun,Manga (3 vols),Aug 2004 - Jul 2006,"1,721 members",7.06
Kyouhaku Dog's: Another Secret,Manga (7 vols),2004 - May 2017,"1,091 members",7.06
Blue Sky Playground,Manga (3 vols),-,"1,085 members",7.06
Atsui Hibi,Manga (1 vols),Mar 1999 - Feb 2002,"1,907 members",7.06
Watashi no Koibito,Manga (2 vols),2002 - 2003,"2,110 members",7.06
.hack//Link: Tasogare no Kishidan,Manga (3 vols),Oct 2007 - 2009,"2,293 members",7.06
Special Order,Manga (1 vols),Apr 2007 - Apr 2007,602 members,7.06
Hoozuki no Shima,Manga (4 vols),Dec 2007 - Jul 2009,"8,362 members",7.06
Ijiwaru Shinaide,Manga (2 vols),-,"1,461 members",7.06
Spicy Recipe,One-shot (? vols),Jan 2008 - Jan 2008,"1,400 members",7.06
Yume Tsukai,Manga (6 vols),Jan 2001 - Dec 2003,883 members,7.06
New Sexy Simpleton,Manhwa (9 vols),-,761 members,7.06
Kitty,Manga (1 vols),2005 - 2005,477 members,7.06
Mascara Blues,Manga (1 vols),Sep 2005 - Nov 2006,"3,988 members",7.06
Musubiya Nanako,Manga (1 vols),Aug 1997 - Aug 1997,433 members,7.06
Rockman ZX,Manga (2 vols),2007 -,557 members,7.06
Train☆Train,Manga (3 vols),Dec 2001 - Apr 2005,716 members,7.06
Fetish,Manga (1 vols),Sep 2004 - Sep 2004,"6,199 members",7.06
Ping,Manhwa (5 vols),2007 - 2007,"4,492 members",7.06
Koi Tsukiyo no Himegoto,Manga (1 vols),Aug 2007 - Nov 2007,"1,746 members",7.06
Dong Meng,Manhua (? vols),2007 - 2008,363 members,7.06
Ru~mu! Room No.1301,Manga (2 vols),2008 - 2008,616 members,7.06
"Sensei to, Watashi to, Hajimete.",Manga (1 vols),2008 - 2008,932 members,7.06
Kabocha no Bouken,Manga (1 vols),2003 - Jun 2007,626 members,7.06
Crimson Empire: Circumstances to Serve a Noble,Manga (3 vols),Nov 2008 - Jul 2011,"3,497 members",7.06
Chiisai Hitsuji wa Yume wo Miru,Manga (1 vols),2006 - 2006,819 members,7.06
Mahou no Iroha!,Manga (3 vols),Sep 2009 - Mar 2011,"2,622 members",7.06
Pocket Monsters Kin Gin: Golden Boys,Manga (3 vols),Nov 1999 - Sep 2001,659 members,7.06
Dokidoki! Tama-tan,Manga (3 vols),2009 -,609 members,7.06
Mayoi Neko Overrun!,Manga (2 vols),Jan 2010 - Nov 2010,"5,609 members",7.06
SWOT,One-shot (? vols),Nov 2009 - Nov 2009,"3,285 members",7.06
Koko ga Uwasa no El Palacio,Manga (7 vols),May 2009 - Aug 2013,"5,079 members",7.06
Houkago Guitar,One-shot (? vols),2004 - 2004,"1,402 members",7.06
Stardust Memories,Manga (1 vols),1995 - 2003,"1,535 members",7.06
The iDOLM@STER: Neue Green for Dearly Stars,Manga (3 vols),Aug 2008 - Jan 2011,548 members,7.06
SxM,Manga (1 vols),2009 - 2010,"1,966 members",7.06
Kanade,Manga (9 vols),Apr 2008 - Nov 2011,600 members,7.06
I do I do,Manhwa (15 vols),2007 -,829 members,7.06
Hands Off!!,One-shot (? vols),2010 - 2010,337 members,7.06
Bokusatsu Tenshi Dokuro-chan,Novel (10 vols),Jun 2003 - Oct 2007,"1,049 members",7.06
Bucchigiri Cabin Attendant,Manga (5 vols),Dec 2007 - Feb 2009,377 members,7.06
Legend Hustle,Manhwa (6 vols),2009 -,789 members,7.06
Kirakira,Manga (1 vols),Mar 2009 - Mar 2009,772 members,7.06
"Matataki suru Tabi, Koi wo Suru",Manga (1 vols),Oct 2010 - Jan 2011,585 members,7.06
Danshi ing Girl!,Manga (1 vols),2009 - 2009,"1,239 members",7.06
Half and Half,Manga (2 vols),May 2008 - Mar 2009,"2,310 members",7.06
Bamora!,Manga (3 vols),Apr 2009 - Nov 2010,"1,113 members",7.06
Yoru wa Betsu no Kao,Manga (1 vols),2008 - 2008,639 members,7.06
Furari.,Manga (1 vols),Jan 2011 - Apr 2011,444 members,7.06
Seiketsu no Haguruma,Manga (6 vols),Apr 2010 - Aug 2012,"1,715 members",7.06
Eternal Moment,Manhua (1 vols),Feb 2011 - Feb 2011,564 members,7.06
Wannin!,Manga (5 vols),2011 - 2013,556 members,7.06
Ore ga Heroine wo Tasukesugite Sekai ga Little Apocalypse!?,Manga (5 vols),Dec 2011 - Jan 2014,"4,482 members",7.06
Kanchigai Hime to Usotsuki Shimobe,Manga (1 vols),Jul 2010 - Dec 2010,"2,836 members",7.06
Cross Manage,One-shot (? vols),May 2012 - May 2012,"1,373 members",7.06
Metronome,Manhwa (? vols),Jun 2010 -,"1,270 members",7.06
Hyakujuu no Ou ni Tsugu!,Manga (1 vols),2012 - 2012,"4,027 members",7.06
Ao to Umibe no Nostalgia,One-shot (? vols),Aug 2008 - Aug 2008,646 members,7.06
Aiura,Manga (7 vols),Mar 2011 - Apr 2014,"2,658 members",7.06
Suisei no Gargantia,Manga (3 vols),Jan 2013 - Jan 2014,"2,056 members",7.06
Ibara no Kanmuri,Manga (2 vols),Apr 2013 - Mar 2014,605 members,7.06
Yuri Mekuru Hibi,Manga (? vols),Apr 2011 - Apr 2016,"2,155 members",7.06
"Kanojo ga Flag wo Oraretara: Ooyuusha yo, Flag wo Tateteshimau to wa Nanigoto da!?",Manga (1 vols),May 2013 - Mar 2014,510 members,7.06
Akuma no Ichigo,Manga (1 vols),Dec 2012 - Mar 2013,"2,795 members",7.06
Kuma Miko,Manga (? vols),Apr 2013 -,"1,545 members",7.06
Black Yome ni Yoroshiku!,Manga (? vols),Jul 2013 -,"1,629 members",7.06
Megane no Incubus-kun,Manga (1 vols),2011 - 2011,670 members,7.06
"Diabolik Lovers More,Blood Anthology",Manga (2 vols),Nov 2013 - Dec 2013,"1,146 members",7.06
Shimoneta to Iu Gainen ga Sonzai shinai Taikutsu na Sekai: Manmaru-hen,Manga (4 vols),Mar 2014 - Feb 2016,"3,576 members",7.06
Baki Gaiden: Kenjin,Manga (1 vols),Jun 2013 -,716 members,7.06
Okujou Pikapika Romance,Manga (1 vols),Jul 2012 - Nov 2013,605 members,7.06
Kirakira,Manga (1 vols),Apr 2010 - Mar 2011,"1,202 members",7.06
Ouji-sama no Riyuu,One-shot (? vols),Jun 2014 - Jun 2014,663 members,7.07
Migawari Hakushaku to Himitsu no Nikki,Manga (1 vols),Oct 2012 - Aug 2013,455 members,7.06
Shinomiya-kun no Sekai ga Owattemo,Manga (1 vols),Oct 2014 - Dec 2014,"2,148 members",7.06
Kamisama no Sumu Mori,One-shot (? vols),Jul 2014 - Jul 2014,306 members,7.06
Sweet HR: Minami-sensei no Himitsu no Houkago,Manga (2 vols),Feb 2015 - Nov 2015,544 members,7.06
Himekishi ga Classmate!,Novel (? vols),Feb 2015 -,"1,566 members",7.06
"Tensei shichatta yo (Iya, Gomen)",Manga (? vols),Sep 2015 -,"4,297 members",7.06
"Sayounara Ryuusei, Konnichiwa Jinsei",Novel (? vols),Mar 2015 -,634 members,7.06
Ano Natsu.,Manga (5 vols),Feb 2016 - Dec 2017,900 members,7.06
Yogen no Nayuta,One-shot (? vols),Jul 2015 - Jul 2015,"1,203 members",7.06
Awa Koi,Manga (? vols),Jun 2016 -,682 members,7.06
Crack Star,Manga (1 vols),Jun 2015 - Jan 2017,"1,648 members",7.06
Cat and Dog,Manhwa (5 vols),May 2013 - Dec 2014,523 members,7.06
Aono-kun ni Sawaritai kara Shinitai,Manga (? vols),Dec 2016 -,"1,419 members",7.06
Osake wa Fuufu ni Natte kara,Manga (12 vols),Apr 2015 - Jul 2019,"4,524 members",7.06
Uchuu no Hate no Mannaka no,Manga (2 vols),Jul 2017 - Feb 2018,"1,191 members",7.06
Koi wa Moumoku,One-shot (? vols),Apr 2014 - Apr 2014,591 members,7.06
Isekai Nonbiri Nouka,Novel (? vols),Oct 2017 -,"1,981 members",7.06
Genjuu Chousain,Manga (2 vols),Aug 2017 - Jun 2018,642 members,7.06
Ojiichan Shinanai,Manga (? vols),Apr 2018 -,868 members,7.06
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,Manga (? vols),Mar 2018 -,"2,729 members",7.06
"Buta Koushaku ni Tensei shita kara, Kondo wa Kimi ni Suki to Iitai",Manga (? vols),Feb 2018 -,"2,537 members",7.06
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,Manga (? vols),Jun 2018 -,695 members,7.06
Yurigurashi,Manga (1 vols),May 2018 - May 2018,635 members,7.06
Majitora!,Manga (6 vols),Nov 2015 - Jan 2019,834 members,7.06
Kaien no Bell de Oyasumi,Manga (? vols),Sep 2018 -,430 members,7.05
Maou-sama to Kekkon shitai,Manga (? vols),Jun 2019 -,902 members,7.04
Haikei... Koroshiya-san to Kekkon Shimashita,Manga (? vols),Sep 2019 -,729 members,7.06
Sakurai-san wa Kizuite Hoshii,Manga (? vols),Oct 2019 -,728 members,7.06
Shishunki Miman Okotowari Kanketsuhen,Manga (1 vols),Jun 2000 - Jun 2000,890 members,7.05
Kidou Senshi Gundam Senki: Lost War Chronicles,Manga (2 vols),May 2002 - Jan 2004,631 members,7.05
Kamen Tantei,Manga (4 vols),1999 - 2000,302 members,7.05
One,Manhwa (11 vols),1998 - 2002,689 members,7.05
Sex no Ato Otokonoko no Ase wa Hachimitsu no Nioi ga Suru,Manga (1 vols),2001 -,300 members,7.05
Sand Land,Manga (1 vols),May 2000 - Aug 2000,"5,787 members",7.05
Star Wars: Jedi no Kikan,Manga (4 vols),Jul 1999 - Oct 1999,628 members,7.05
Maison de Beauties,Manga (3 vols),Dec 2000 - Feb 2002,"1,115 members",7.05
Gomen Asobase!,Manga (1 vols),1990 -,658 members,7.05
Leviathan,Manga (12 vols),-,"2,094 members",7.05
Three Quarters,Manga (1 vols),2001 -,399 members,7.05
Kakumeika no Gogo,Manga (1 vols),2007 - 2007,"2,727 members",7.05
Spas-Pa,Manga (7 vols),Oct 2002 - Dec 2005,"1,628 members",7.05
B-Shock,Manga (4 vols),1999 - 2002,"2,908 members",7.05
Mong Hwan Baegseo,Manhwa (20 vols),2003 - 2011,960 members,7.05
Boys' Kingdom,Manga (1 vols),1999 -,"1,950 members",7.05
Nephilim,Manga (2 vols),2005 - 2005,"1,208 members",7.05
Shite Wagamama H,Manga (1 vols),2004 -,"1,492 members",7.05
Dramatic Love Album,One-shot (? vols),2002 - 2002,"3,022 members",7.05
Hanaukyou Maid-tai,Manga (14 vols),Mar 1999 - Aug 2006,"1,108 members",7.05
Kootetsu no Hana,Manga (1 vols),Aug 2003 - Sep 2005,499 members,7.05
Watashi ga Itemo Inakutemo,Manga (3 vols),Jun 2001 - Jul 2002,743 members,7.05
Nui!,Manga (3 vols),2006 - 2007,"1,404 members",7.05
Mizutama Fabric,Manga (1 vols),Dec 2002 - Oct 2006,"1,119 members",7.05
#000000: Ultra Black,Manga (7 vols),Oct 2007 - Jul 2011,"1,617 members",7.05
Cream,Manhwa (6 vols),-,422 members,7.05
Aoi Futari,Manga (1 vols),Aug 2003 - Aug 2003,410 members,7.05
Hajime,Manga (? vols),Dec 2002 - Jan 2003,"2,453 members",7.05
Tsuiteru Kanojo,Manga (1 vols),2004 - 2004,"2,530 members",7.05
Samurai Darling,Manga (1 vols),Jul 2002 - Mar 2003,932 members,7.05
Negative Happy Chainsaw Edge,Manga (2 vols),Oct 2007 - 2008,"9,272 members",7.05
Pink de Ikou!,Manga (1 vols),2004 -,386 members,7.05
Chu♥Chu♥Chu,Manga (2 vols),Oct 2006 - Aug 2007,"1,072 members",7.05
Yu☆Gi☆Oh! R,Manga (5 vols),Apr 2004 - Dec 2007,"3,743 members",7.05
Hand x Red,Manga (3 vols),Jul 2006 - Jun 2009,"1,526 members",7.05
Glaucos,Manga (4 vols),Jul 2003 - Mar 2005,"1,707 members",7.05
Onnanoko wa Yoyuu!,Manga (1 vols),1985 - 1990,287 members,7.05
Clamp no Kiseki,Manga (12 vols),2005 - 2005,"1,505 members",7.05
Jinrui Nekoka,Manga (3 vols),Dec 1984 - Aug 1986,307 members,7.05
Hakodate Youjin Buraichou Himegami,Manga (5 vols),Aug 2007 - Jan 2009,"1,855 members",7.05
Akahime Ranshin,One-shot (? vols),Jun 2008 - Jun 2008,"2,879 members",7.05
Shinakoi,Manga (4 vols),Jul 2008 - Jan 2011,569 members,7.05
Tengoku no Inu Monogatari,Manga (6 vols),2004 -,198 members,7.05
18 Diary,Manga (1 vols),May 2003 - Aug 2003,"2,177 members",7.05
Dämons,Manga (13 vols),Feb 2006 - Jun 2008,629 members,7.05
Bijo Juku,Manga (2 vols),2008 - 2008,"1,833 members",7.05
Ichigo no Gakkou,Manga (1 vols),-,"2,353 members",7.05
Koi no Jitsuryoku Ai no Sainou,Manga (1 vols),2008 -,813 members,7.05
Kirakira Hikare,Manga (1 vols),2008 - 2008,888 members,7.05
Kin no Angel,Manga (? vols),2008 -,516 members,7.05
Mou Speed de Karera wa,Manga (1 vols),Aug 2007 - Feb 2008,970 members,7.05
Gokujou Koibana: Perfect Love Stories Best 5,Manga (1 vols),- 2004,574 members,7.05
Mainichi Kimi ni Koishiteru,Manga (2 vols),2008 - 2009,755 members,7.05
Kyoukasho wa Oshiete Kurenai,Manga (1 vols),Jan 2009 - Oct 2009,470 members,7.05
Popcorn Avatar,Manga (6 vols),Apr 2009 - Aug 2011,"3,175 members",7.05
S Kareshi Joujou,Manga (7 vols),Apr 2008 - Jul 2010,"2,140 members",7.05
Chicken Cutlet Princess,Manhua (2 vols),2008 - 2008,896 members,7.05
Fushigi no Maria-kun,Manga (2 vols),2009 - 2010,914 members,7.05
"Hangah, Lee",Manhwa (7 vols),Jul 2007 - Oct 2010,934 members,7.05
Chitose etc.,Manga (7 vols),Sep 2009 - Jul 2012,"1,953 members",7.05
Getter Robo Anthology: Shinka no Ishi,Manga (1 vols),Mar 2008 - Mar 2008,469 members,7.05
Battle Story Rockman.EXE,Manga (4 vols),-,401 members,7.05
